identifier,genus,species,subspecies,kcat_dH,Kc_dH,Ko_dH,S_dH,form,taxonomy,group,note,short_ref
marcosii_galmés_2016_dH,Beta,maritima,marcosii,,,,-22.0,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
maritima_galmés_2016_dH,Beta,maritima,maritima,,,,-22.4,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
ibicensis_galmés_2016_dH,Diplotaxis,ibicensis,,,,,-24.9,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
cronquistii_galmés_2016_dH,Flaveria,cronquistii,,,51.8,,-19.5,1B,C3 plants,Plants,From Perdomo et al. 2015,Galmés 2016
pringlei1_galmés_2016_dH,Flaveria,pringlei,,,,,-18.9,1B,C3 plants,Plants,From Zhu et al. 1998,Galmés 2016
pringlei2_galmés_2016_dH,Flaveria,pringlei,,,38.6,,-20.8,1B,C3 plants,Plants,From Perdomo et al. 2015,Galmés 2016
balearicum_galmés_2016_dH,Hypericum,balearicum,,,,,-22.6,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
sicula_galmés_2016_dH,Kundmannia,sicula,,,,,-23.2,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
gibertii_galmés_2016_dH,Limonium,gibertii,,,,,-24.1,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
magallufianum_galmés_2016_dH,Limonium,magallufianum,,,,,-24.3,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
lentiscus_galmés_2016_dH,Pistacia,lentiscus,,,,,-22.0,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
alaternus_galmés_2016_dH,Rhamnus,alaternus,,,,,-22.8,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
ludovici-salvatoris_galmés_2016_dH,Rhamnus,ludovici-salvatoris,,,,,-24.0,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
