identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,group,note,short_ref
helioscopia_Orr_2016,Euphorbia,helioscopia,,1.9,,11.5,,453,,96.8,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
microsphaera_Orr_2016,Euphorbia,microsphaera,,4.5,,25.8,,546,,99.7,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
gigantea_Orr_2016,Festuca,gigantea,,5.1,,31.2,,595,,108,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
pratensis_Orr_2016,Festuca,pratensis,,5.1,,23.1,,686,,106,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
anomala_Kubien_2008,Flaveria,anomala,,3.8,,10.7,,605,,77.9,,25,1B,canon,C3-C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
australasica_Kubien_2008,Flaveria,australasica,,3.84,,22,,309,,77.2,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
bidentis_Kubien_2008,Flaveria,bidentis,,4.16,,20.2,,639,,75.5,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
bidentis_Whitney_2011b,Flaveria,bidentis,,4.8,,20.4,,420,,81,,25,1B,canon,C4 plants,Plants,,Whitney 2011b
brownii_Kubien_2008,Flaveria,brownii,,2.58,,12.8,,378,,83.8,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed; C4-like,Kubien 2008
chloraefolia_Kubien_2008,Flaveria,chloraefolia,,3.35,,12.4,,740,,81.6,,25,1B,canon,C3-C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
cronquistii_Kubien_2008,Flaveria,cronquistii,,3.13,,10.8,,653,,81,,25,1B,canon,C3 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
floridana_Kubien_2008,Flaveria,floridana,,3.19,,13.2,,686,,84.5,,25,1B,canon,C3-C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
floridana_Whitney_2011b,Flaveria,floridana,,3.6,,14.4,,374,,82,,25,1B,canon,C3-C4 plants,Plants,,Whitney 2011b
kochiana_Kubien_2008,Flaveria,kochiana,,3.68,,22.7,,150,,77,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
linearis_Kubien_2008,Flaveria,linearis,,3.43,,12.5,,415,,78.1,,25,1B,canon,C3-C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
palmeri_Kubien_2008,Flaveria,palmeri,,3.54,,13.5,,193,,83.8,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed; C4-like,Kubien 2008
pringlei_Kubien_2008,Flaveria,pringlei,,3.11,,12,,666,,80.8,,25,1B,canon,C3 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
pringlei_Whitney_2011b,Flaveria,pringlei,,3.5,,13.7,,376,,81,,25,1B,canon,C3 plants,Plants,,Whitney 2011b
pringlei_Zhu_1998,Flaveria,pringlei,,2.1,,12,,880,,102,,25,1B,canon,C3 plants,Plants,"Very light on details, pH could be wrong for kcat",Zhu 1998
ramosissima_Kubien_2008,Flaveria,ramosissima,,2.77,,12,,722,,79.8,,25,1B,canon,C3-C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
sonorensis_Kubien_2008,Flaveria,sonorensis,,2.69,,10.2,,785,,84.3,,25,1B,canon,C3-C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
trinervia_Kubien_2008,Flaveria,trinervia,,4.42,,17.9,,671,,77,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
vaginata_Kubien_2008,Flaveria,vaginata,,3.78,,21.4,,880,,78.7,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed; C4-like,Kubien 2008
suffruticosa_Orr_2016,Flueggea,suffruticosa,,3.4,,19.2,,547,,101,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
vulgare_Orr_2016,Foeniculum,vulgare,,4.4,,20.7,,512,,94.3,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
cylindrus_Young_2016,Fragilariopsis,cylindrus,CCMP1102,3.5,,64,,667,,77,,25,1D,canon,Diatoms,Algae,pKa from Whitney et al. 2011; pKa not necessary for Sc/o,Young 2016
sulphuraria_Whitney_2001,Galdieria,sulphuraria,,1.2,,3.3,,374,,166,,25,1D,canon,Red algae,Algae,pKa not needed for Sc/o; assumed 6.25 for pKa as Whitney papers have been using that value since 1999,Whitney 2001
glycine_canescens_Orr_2016,Glycine,canescens,,2.6,,17.2,,587,,97.1,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
max_Hermida-Carrera_2016,Glycine,max,Ransom,1.5,,8.6,,292,,97,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
max_Orr_2016,Glycine,max,,2.5,,13.2,,660,,99.6,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
brachyantherum_Orr_2016,Hordeum,brachyantherum,,2.9,,16.2,,371,,101,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
murinum_Orr_2016,Hordeum,murinum,,4.2,,21.5,,511,,100,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
vulgare_Hermida-Carrera_2016,Hordeum,vulgare,vulgare,2.4,,9,,394,,99.2,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
vulgare_Prins_2016,Hordeum,vulgare,Lenins,3.99,,15.2,,465,,102,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
batatas_Hermida-Carrera_2016,Ipomoea,batatas,Rosa de Malaga,2.5,,12,,340,,98.5,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
purpureus_Orr_2016,Lablab,purpureus,,5.3,,21.7,,556,,91.1,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
lactuca_sativa_Hermida-Carrera_2016,Lactuca,sativa,Cogollo de Tudela,2.2,,11.1,,403,,94,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
campestre_Orr_2016,Lepidium,campestre,,3.4,,15.8,,336,,92.8,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
antonii-llorensii_Galmés_2014a,Limonium,antonii-llorensii,,2.4,,8.7,,397,,112,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
artruchium_Galmés_2014a,Limonium,artruchium,,3,,9.4,,321,,113,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
balearicum_Galmés_2014a,Limonium,balearicum,,3.6,,9.7,,346,,103,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
barceloi_Galmés_2014a,Limonium,barceloi,,3.4,,9.3,,346,,106,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
biflorum_Galmés_2014a,Limonium,biflorum,,2.4,,8,,316,,112,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
companyonis_Galmés_2014a,Limonium,companyonis,,3.3,,8.9,,429,,112,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
echioides_Galmés_2014a,Limonium,echioides,,3.9,,10.7,,427,,106,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
ejulabilis_Galmés_2014a,Limonium,ejulabilis,,2,,7.6,,415,,116,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
gibertii_Galmés_2014a,Limonium,gibertii,,2.5,,9.1,,431,,112,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
grosii_Galmés_2014a,Limonium,grosii,,2.9,,8.1,,328,,113,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
gymnesicum_Galmés_2014a,Limonium,gymnesicum,,2.4,,8.2,,388,,121,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
leonardi-llorensii_Galmés_2014a,Limonium,leonardi-llorensii,,2.8,,8.8,,438,,110,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
magallufianum_Galmés_2014a,Limonium,magallufianum,,2.6,,7,,297,,111,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
retusum_Galmés_2014a,Limonium,retusum,,2.1,,7.1,,396,,121,,25,1B,canon,C3 plants,Plants,"Cites Parry 2007 for S measurement, no pKa reported -> pKa from other Galmes 2014 paper",Galmés 2014a
multiflorum_Orr_2016,Lolium,multiflorum,,4.5,,29.1,,740,,99.9,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
rigidum_Orr_2016,Lolium,rigidum,,4.7,,25,,520,,100,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
uniflorum_Orr_2016,Macrotyloma,uniflorum,,4.4,,25.2,,519,,101,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
esculenta_Hermida-Carrera_2016,Manihot,esculenta,,1.4,,6.1,,335,,101,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
esculenta_Orr_2016,Manihot,esculenta,,2.4,,15,,566,,105,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
medicago_sativa_Hermida-Carrera_2016,Medicago,sativa,Aragon,1.7,,9.7,,373,,95.6,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
maximus_Sharwood_2016b,Megathyrsus,maximus,,5.3,,13.9,,265,,80.3,,25,1B,canon,C4 plants,Plants,pKa not needed for Sc/o; pKa from Iniguez et al. 2021,Sharwood 2016b
annua_Orr_2016,Mercurialis,annua,,3.4,,17,,417,,95.7,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
burtonii_Alonso_2009,Methanococcoides,burtonii,,2,,130,,3,,1.18,,25,2_3,alt,Archaea,Archaea,L10 induced by addition of RuBP; Sc/o uses Kane method so no pKa correction necessary,Alonso 2009
