identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,group,note,short_ref
pectinata_capó-bauçà_2022a,Stuckenia,pectinata,,3.17,,25,,748.3,,81.6,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
cirrhosa_capó-bauçà_2022a,Ruppia,cirrhosa,,3.27,,17.8,,642.1,,84,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
oceanica_capó-bauçà_2022a,Posidonia,oceanica,,2.17,,35.1,,1328.2,,91,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
nodosa_capó-bauçà_2022a,Cymodocea,nodosa,,2.75,,25.7,,983.9,,90.4,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
marina_capó-bauçà_2022a,Zostera,marina,,2.8,,25.3,,1210,,85.8,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
noltii_capó-bauçà_2022a,Zostera,noltii,,2.57,,29.8,,851.9,,72.8,,25,1B,canon,Aquatic plants,Plants,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022a
acetabulum_capó-bauçà_2022b,Acetabularia,acetabulum,,3.64,,19.4,,761,,75.7,,25,1B,canon,Macroalgae,Algae,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022b
stellata_capó-bauçà_2022b,Anadyomene,stellata,,2.43,,28.4,,898,,61.6,,25,1B,canon,Macroalgae,Algae,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022b
pavonica_capó-bauçà_2022b,Padina,pavonica,,2.33,,18.4,,2056,,115.8,,25,1D,canon,Macroalgae,Algae,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022b
fasciola_capó-bauçà_2022b,Dictyota,fasciola,,2.07,,17.3,,1327,,126.1,,25,1D,canon,Macroalgae,Algae,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022b
elongata_capó-bauçà_2022b,Ellisolandia,elongata,,3.4,,36.2,,1875,,137.4,,25,1D,canon,Macroalgae,Algae,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022b
tenerrima_capó-bauçà_2022b,Palisada,tenerrima,,1.65,,12.2,,840,,146.5,,25,1D,canon,Macroalgae,Algae,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022b
breve_banda_2020,Promineifilum,breve,,2.23,,22.2,,401,,36.1,,25,1’,,Chloroflexi,Bacteria,,Banda 2020
synechococcus_banda_2020,Synechococcus,sp,PCC 6301,14.3,,235,,983,,56.1,,25,1Bc,canon,Cyanobacteria,Bacteria,,Banda 2020
average_1ac_cyanobacteria,Average,1Ac,cyanobacteria,9.4,,169,,1310,,53.5,,25,1Ac,canon,Cyanobacteria,Bacteria,values medians of collected cyanobacterial measurements at 25C,this study
average_1ac_proteobacteria,Average,1Ac,proteobacteria,6.5,30,461,,1310,,33.1,30,25,1Ac,,,Bacteria,kcat median of proteobacteria 1Ac measured at 30C; Kc median of proteobacteria 1Ac measured at 25C; Ko median of 1Ac cyanobacteria measured at 25C; S H. marinus value,this study
average_1aq,Average,1Aq,,6.9,,34.8,,965,,43.6,,25,1Aq,,,Bacteria,medians of 1Aq measured at 25C,this study
average_1b_c3_plant,Average,1B,C3 plant,2.8,,15.4,,429,,98.1,,25,1B,canon,C3 plants,Plants,medians of C3 plants measured at 25C,this study
average_1b_c4_plant,Average,1B,C4 plant,4.16,,26.3,,444,,82.2,,25,1B,canon,C4 plants,Plants,medians of C4 plants measured at 25C,this study
average_1b_c3-c4_plant,Average,1B,C3-C4 plant,2.86,,12.4,,646,,82.6,,25,1B,canon,C3-C4 plants,Plants,medians of C3-C4 plants measured at 25C,this study
average_1b_cam_plant,Average,1B,CAM plant,4.5,,15,,312,,88.7,,25,1B,canon,CAM plants,Plants,medians of CAM plants measured at 25C,this study
average_1b_bryophyte,Average,1B,bryophyte,3.35,,24.4,,565,,70.5,,25,1B,canon,Bryophytes,Plants,medians of bryophytes measured at 25C,this study
average_1b_aquatic_plant,Average,1B,aquatic plant,2.38,,22,,990,,90,,25,1B,canon,Aquatic plants,Plants,medians of aquatic plants measured at 25C,this study
average_1b_green_algae,Average,1B,green algae,2.47,,32,,480,,62,,25,1B,canon,Green algae,Algae,medians of green algae measured at 25C,this study
average_1b_all,Average,1B,,3.09,,17,,445,,94,,25,1B,canon,,,medians of all 1B measured at 25C,this study
average_1bc,Average,1Bc,,11.5,,162,,664,,45,,25,1Bc,canon,Cyanobacteria,Bacteria,medians of 1Bc measured at 25C,this study
average_1c,Average,1C,,2.1,30,55.5,30,1282,,62,,25,1C,,,Bacteria,"kcat, Kc medians of 1C measured at 30C; Ko, S medians of 1C at 25C",this study
average_1d_diatom,Average,1D,diatom,3.25,,48.5,,764,,92,,25,1D,canon,Diatoms,Algae,medians of diatoms measured at 25C,this study
average_1d_red_algae,Average,1D,red algae,1.59,,8,,1238,,166,,25,1D,canon,Red algae,Algae,medians of red algae measured at 25C,this study
average_1d_macroalgae,Average,1D,macroalgae,2.07,,17.5,,1601,,132,,25,1D,canon,Macroalgae,Algae,medians of macroalgae measured at 25C,this study
average_1d_all,Average,1D,,2.27,,23.9,,862,,104,,25,1D,canon,,Algae,medians of all 1D measured at 25C,this study
average_2,Average,2,prokaryote,12.3,,161,,220,,13.3,,25,2,,,Bacteria,medians of all prokaryote form 2 measured at 25C,this study
average_rubisco,Average,Rubisco,,3.19,,18.7,,465,,91.5,,25,,,,,medians of all Rubiscos (except forms 2/3 & 3) measured at 25C,this study
