identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,note
australasica_kubien_2008,Flaveria,australasica,,3.84,,22,,309,,77.2,,25,1B,canon,C4 plants,Kubien 2008
bidentis_kubien_2008,Flaveria,bidentis,,4.16,,20.2,,639,,75.5,,25,1B,canon,C4 plants,Kubien 2008
bidentis_whitney_2011,Flaveria,bidentis,,4.8,,20.4,,420,,81,,25,1B,canon,C4 plants,Whitney 2011
brownii_kubien_2008,Flaveria,brownii,,2.58,,12.8,,378,,83.8,,25,1B,canon,C4-like plants,Kubien 2008
chloraefolia_kubien_2008,Flaveria,chloraefolia,,3.35,,12.4,,740,,81.6,,25,1B,canon,C3-C4 plants,Kubien 2008
cronquistii_kubien_2008,Flaveria,cronquistii,,3.13,,10.8,,653,,81,,25,1B,canon,C3 plants,Kubien 2008
floridana_kubien_2008,Flaveria,floridana,,3.19,,13.2,,686,,84.5,,25,1B,canon,C3-C4 plants,Kubien 2008
floridana_whitney_2011,Flaveria,floridana,,3.6,,14.4,,374,,82,,25,1B,canon,C3-C4 plants,Whitney 2011
kochiana_kubien_2008,Flaveria,kochiana,,3.68,,22.7,,150,,77,,25,1B,canon,C4 plants,Kubien 2008
linearis_kubien_2008,Flaveria,linearis,,3.43,,12.5,,415,,78.1,,25,1B,canon,C3-C4 plants,Kubien 2008
palmeri_kubien_2008,Flaveria,palmeri,,3.54,,13.5,,193,,83.8,,25,1B,canon,C4-like plants,Kubien 2008
pringlei_kubien_2008,Flaveria,pringlei,,3.11,,12,,666,,80.8,,25,1B,canon,C3 plants,Kubien 2008
pringlei_whitney_2011,Flaveria,pringlei,,3.5,,13.7,,376,,81,,25,1B,canon,C3 plants,Whitney 2011
pringlei_zhu_1998,Flaveria,pringlei,,2.1,,12,,880,,102,,25,1B,canon,C3 plants,Zhu 1998
ramosissima_kubien_2008,Flaveria,ramosissima,,2.77,,12,,722,,79.8,,25,1B,canon,C3-C4 plants,Kubien 2008
sonorensis_kubien_2008,Flaveria,sonorensis,,2.69,,10.2,,785,,84.3,,25,1B,canon,C3-C4 plants,Kubien 2008
trinervia_kubien_2008,Flaveria,trinervia,,4.42,,17.9,,671,,77,,25,1B,canon,C4 plants,Kubien 2008
vaginata_kubien_2008,Flaveria,vaginata,,3.78,,21.4,,880,,78.7,,25,1B,canon,C4-like plants,Kubien 2008
suffruticosa_orr_2016,Flueggea,suffruticosa,,3.4,,19.2,,547,,101,,25,1B,canon,C3 plants,Orr 2016
vulgare_orr_2016,Foeniculum,vulgare,,4.4,,20.7,,512,,94.3,,25,1B,canon,C3 plants,Orr 2016
cylindrus_young_2016,Fragilariopsis,cylindrus,,3.5,,64,,667,,77,,25,1D,,Diatoms,Young 2016
sulphuraria_whitney_2001,Galdieria,sulphuraria,,1.2,,3.3,,374,,166,,25,1D,,Red algae,Whitney 2001
g_canescens_orr_2016,Glycine,canescens,,2.6,,17.2,,587,,97.1,,25,1B,canon,C3 plants,Orr 2016
max_hermida_2016,Glycine,max,,1.5,,8.6,,292,,97,,25,1B,canon,C3 plants,Hermida-Carrera 2016
max_orr_2016,Glycine,max,,2.5,,13.2,,660,,99.6,,25,1B,canon,C3 plants,Orr 2016
brachyantherum_orr_2016,Hordeum,brachyantherum,,2.9,,16.2,,371,,101,,25,1B,canon,C3 plants,Orr 2016
murinum_orr_2016,Hordeum,murinum,,4.2,,21.5,,511,,100,,25,1B,canon,C3 plants,Orr 2016
vulgare_hermida_2016,Hordeum,vulgare,,2.4,,9,,394,,99.2,,25,1B,canon,C3 plants,Hermida-Carrera 2016
vulgare_prins_2016,Hordeum,vulgare,,3.99,,15.2,,465,,102,,25,1B,canon,C3 plants,Prins 2016
batatas_hermida_2016,Ipomoea,batatas,,2.5,,12,,340,,98.5,,25,1B,canon,C3 plants,Hermida-Carrera 2016
purpureus_orr_2016,Lablab,purpureus,,5.3,,21.7,,556,,91.1,,25,1B,canon,C3 plants,Orr 2016
l_sativa_hermida_2016,Lactuca,sativa,,2.2,,11.1,,403,,94,,25,1B,canon,C3 plants,Hermida-Carrera 2016
campestre_orr_2016,Lepidium,campestre,,3.4,,15.8,,336,,92.8,,25,1B,canon,C3 plants,Orr 2016
antonii-llorensii_galmes_2014a,Limonium,antonii-llorensii,,2.4,,8.7,,397,,112,,25,1B,canon,C3 plants,Galmes 2014a
artruchium_galmes_2014a,Limonium,artruchium,,3,,9.4,,321,,113,,25,1B,canon,C3 plants,Galmes 2014a
balearicum_galmes_2014a,Limonium,balearicum,,3.6,,9.7,,346,,103,,25,1B,canon,C3 plants,Galmes 2014a
barceloi_galmes_2014a,Limonium,barceloi,,3.4,,9.3,,346,,106,,25,1B,canon,C3 plants,Galmes 2014a
biflorum_galmes_2014a,Limonium,biflorum,,2.4,,8,,316,,112,,25,1B,canon,C3 plants,Galmes 2014a
companyonis_galmes_2014a,Limonium,companyonis,,3.3,,8.9,,429,,112,,25,1B,canon,C3 plants,Galmes 2014a
echioides_galmes_2014a,Limonium,echioides,,3.9,,10.7,,427,,106,,25,1B,canon,C3 plants,Galmes 2014a
ejulabilis_galmes_2014a,Limonium,ejulabilis,,2,,7.6,,415,,116,,25,1B,canon,C3 plants,Galmes 2014a
gibertii_galmes_2014a,Limonium,gibertii,,2.5,,9.1,,431,,112,,25,1B,canon,C3 plants,Galmes 2014a
grosii_galmes_2014a,Limonium,grosii,,2.9,,8.1,,328,,113,,25,1B,canon,C3 plants,Galmes 2014a
gymnesicum_galmes_2014a,Limonium,gymnesicum,,2.4,,8.2,,388,,121,,25,1B,canon,C3 plants,Galmes 2014a
leonardi-llorensii_galmes_2014a,Limonium,leonardi-llorensii,,2.8,,8.8,,438,,110,,25,1B,canon,C3 plants,Galmes 2014a
magallufianum_galmes_2014a,Limonium,magallufianum,,2.6,,7,,297,,111,,25,1B,canon,C3 plants,Galmes 2014a
retusum_galmes_2014a,Limonium,retusum,,2.1,,7.1,,396,,121,,25,1B,canon,C3 plants,Galmes 2014a
multiflorum_orr_2016,Lolium,multiflorum,,4.5,,29.1,,740,,99.9,,25,1B,canon,C3 plants,Orr 2016
rigidum_orr_2016,Lolium,rigidum,,4.7,,25,,520,,100,,25,1B,canon,C3 plants,Orr 2016
uniflorum_orr_2016,Macrotyloma,uniflorum,,4.4,,25.2,,519,,101,,25,1B,canon,C3 plants,Orr 2016
esculenta_hermida_2016,Manihot,esculenta,,1.4,,6.1,,335,,101,,25,1B,canon,C3 plants,Hermida-Carrera 2016
esculenta_orr_2016,Manihot,esculenta,,2.4,,15,,566,,105,,25,1B,canon,C3 plants,Orr 2016
m_sativa_hermida_2016,Medicago,sativa,,1.7,,9.7,,373,,95.6,,25,1B,canon,C3 plants,Hermida-Carrera 2016
maximus_sharwood_2016,Megathyrsus,maximus,,5.3,,13.9,,265,,80.3,,25,1B,canon,C4 plants,Sharwood 2016
annua_orr_2016,Mercurialis,annua,,3.4,,17,,417,,95.7,,25,1B,canon,C3 plants,Orr 2016
burtonii_alonso_2009,Methanococcoides,burtonii,,2,,130,,2.5,,1.18,,25,2_3,,Archaea,Alonso et al. 2009
burtonii_wilson_2016,Methanococcoides,burtonii,,0.6,,56.9,,11.2,,1.3,,25,2_3,,Archaea,Wilson 2016
velutina_orr_2016,Musa,velutina,,3.2,,19,,564,,111,,25,1B,canon,C3 plants,Orr 2016
tabacum_corrected_average,Nicotiana,tabacum,,2.4,,10.9,,382.4,,83.5,,25,1B,canon,C3 plants,methodology-corrected average from Iñiguez et al. 2021 across multiple cultivars
tabacum_occhialini_2015,Nicotiana,tabacum,,3.9,,9,,292,,91.2,,25,1B,canon,C3 plants,Occhialini 2015
tabacum_orr_2016,Nicotiana,tabacum,,4.4,,21.2,,452,,96.4,,25,1B,canon,C3 plants,Orr 2016
